ParticipantID,RL,AI0,AI1,AI2,AI3
46080,-191.37969821379875,-178.07069551213203,-179.87365414613402,-197.4063268952287,-178.2389585188838
53366,-195.53798465056025,-129.56987354251186,-138.0743218442693,-205.22416884694024,-133.69880741622518
3187,-154.32920483920736,-129.55058569504718,-131.85792616496778,-156.09121638197365,-130.37804825917482
68012,-194.46899345774705,-172.05772411314396,-174.64979630078977,-198.07643531051517,-172.15453251230468
9695,-179.73969006251508,-153.32662696678423,-150.6999427774875,-178.70470684432183,-153.1395221845449
61120,-207.27418785282623,-161.01416494477837,-164.6799891342546,-204.37113316485517,-161.68020353002623
4862,-203.67022835196707,-178.54620851061364,-181.38925916852045,-189.505443806597,-185.2238511847358
55027,-166.46265128228305,-135.3207888613698,-135.00479752151847,-168.74219765941967,-136.43591376307725
99461,-189.8039260830303,-142.56295763504767,-145.4182165664226,-191.09787423479165,-142.3855210355968
16691,-227.34572626030305,-225.1539319810057,-225.18557563674156,-232.1816712228604,-229.98571618398128
75759,-120.68575718993026,-97.28784354858115,-99.75552488307343,-128.12453751783636,-99.13634394318966
4936,-243.7101701186116,-232.11365052935625,-231.1136505290044,-247.0627092799388,-237.9631314797822
17946,-177.39862558925546,-155.64088578144555,-155.78665888157508,-175.5306464564334,-158.7688620825873
33765,-270.3953309143321,-258.12643450621783,-257.20534462859393,-280.9397360762058,-254.14809557074568
92975,-229.9909247120288,-208.55341846037544,-209.4889254751408,-225.08898284921796,-220.31004585342504
97543,-274.62320493317463,-264.4609804614299,-265.5696164286975,-274.0368962790145,-266.2596637586675
63520,-268.9613696661916,-266.9875263675923,-266.0423507243079,-270.9090910653045,-270.06940742773804
99845,-245.42390532858195,-226.33998224506257,-225.81582924839043,-248.0791439450236,-236.718059347064
57653,-175.78164693804263,-144.17643122611724,-150.1256481360237,-174.0914603439683,-144.98407205795775
35102,-196.9810123286395,-198.44163085215484,-203.88005750094305,-198.8428358850812,-198.8794258248448
23849,-113.59753876574264,-120.80637384309648,-119.81680075829188,-119.80544011061,-120.43516702030934
88310,-257.04117572412883,-225.65537688906647,-234.62852885117044,-254.47965703906337,-236.18773251525064
10951,-172.7077854210495,-159.8857215075522,-160.7777749124161,-177.60042953313638,-158.86555052797777
