ParticipantID,RL_ddm_DRMlinear,AI_ddm0_DRMlinear,AI_ddm1_DRMlinear,AI_ddm2_DRMlinear,AI_ddm3_DRMlinear
46080,-269.16223454353417,-253.19078771763833,-252.1907883350235,-281.78959073701014,-252.65864820038098
53366,-263.3267985742326,-203.1901989581927,-207.90988168016017,-273.63915571347314,-205.26396360200116
3187,-143.96721744516435,-119.40696375080368,-123.91620864688403,-149.91167813282755,-119.7382323583495
68012,-328.72390324198636,-307.35323811135015,-309.1277252036027,-333.7088174814512,-307.5930848367317
9695,-252.61855984213182,-231.08740016053065,-231.1308841160625,-256.0506668056437,-231.1218456017585
61120,-348.23016726452715,-296.9474869017385,-301.2434489600023,-346.3432436668371,-298.41842901285384
4862,-243.28612494843395,-217.6561644354444,-218.88385340870695,-231.22679129513358,-221.8352078898755
55027,-97.15524017804894,-66.26452856901656,-66.0825955297828,-102.66484455570935,-65.39892964696148
99461,-177.81288067021086,-132.83394312666624,-133.5116652527354,-179.7488400281299,-132.58507523658764
16691,-298.9228026954449,-304.5728253873147,-304.9269737039468,-308.42204958712,-306.16216695885544
75759,-33.86791833019824,2.8181918986270134,3.5651281271944235,-34.89601271054504,0.16964024540491707
4936,-448.0530563655096,-435.0149334011423,-434.20261826522585,-450.3861203629095,-434.2375775270799
17946,-227.87101714794187,-205.0842690680117,-204.08426904901168,-226.5095194255364,-205.73525558241383
33765,-153.92789036878298,-134.4116462706411,-137.28594926732012,-169.17500740376684,-138.36787050977352
92975,-256.1767931020032,-231.57039017255755,-231.02302413283792,-243.71892368604648,-244.96028752582325
97543,-282.83243832059316,-270.058584324698,-273.2707608299363,-281.7882523655137,-271.94186560949527
63520,-462.4425413674278,-463.18877857632674,-456.92221803878357,-464.3956917530034,-462.15908809163716
99845,-301.36890014286735,-277.9375020166632,-277.7578770104356,-308.5700217845305,-294.84069945074145
57653,-133.41169888460615,-95.66126564745855,-98.15657376834791,-133.1357060213802,-96.09742351808869
35102,-336.3672940951848,-338.84731353757263,-337.97195894027857,-339.3974317677916,-339.85215325689126
23849,-216.11007141358624,-214.62078326049922,-213.62078379482637,-213.62078326446078,-213.62243296612024
88310,-306.89954007348064,-272.2089982682936,-283.48772563945107,-301.5006950698173,-286.23188433410587
10951,-55.41771525643688,-54.439442041614754,-54.010345693819225,-67.32000086322645,-53.441868612235
