ParticipantID,RL,AI0,AI1,AI2,AI3
46080,-202.9412653920055,-192.93556759839788,-193.08687377837032,-210.619546527465,-191.4521781511201
53366,-207.099551828767,-144.43474562877768,-151.2875414765056,-218.43738847917655,-146.91202704846148
3187,-165.89077201741412,-144.415457781313,-145.07114579720408,-169.30443601420995,-143.59126789141112
68012,-206.0305606359538,-186.9225961994098,-187.86301593302608,-211.28965494275147,-185.367752144541
9695,-191.30125724072184,-168.19149905305008,-163.9131624097238,-191.91792647655814,-166.3527418167812
61120,-218.835755031033,-175.87903703104422,-177.89320876649091,-217.58435279709147,-174.89342316226254
4862,-215.23179553017383,-193.4110805968795,-194.60247880075676,-202.7186634388333,-198.4370708169721
55027,-178.0242184604898,-150.18566094763565,-148.21801715375477,-181.95541729165598,-149.64913339531356
99461,-201.36549326123705,-157.42782972131351,-158.6314361986589,-204.31109386702795,-155.5987406678331
16691,-238.9072934385098,-240.01880406727156,-238.39879526897786,-245.3948908550967,-243.19893581621758
75759,-132.24732436813701,-112.152715634847,-112.96874451530974,-141.33775715007266,-112.34956357542596
4936,-255.09312711677478,-246.74888095556608,-244.1227442411909,-260.0718029921253,-250.9722251919687
17946,-188.96019276746222,-170.5057578677114,-168.99987851381138,-188.7438660886697,-171.9820817148236
33765,-281.95689809253884,-272.9913065924837,-270.4185642608303,-294.1529557084421,-267.361315202982
92975,-241.55249189023556,-223.4182905466413,-222.7021451073771,-238.30220248145426,-233.52326548566134
97543,-286.1847721113814,-279.3258525476957,-278.7828360609338,-287.2501159112508,-279.4728833909038
63520,-280.50548044910977,-281.82995451705847,-279.2356201905,-284.10236053149663,-283.2626768939302
99845,-256.9854725067887,-241.20485433132842,-239.02904888062673,-261.2923635772599,-249.93127897930032
57653,-187.34321411624938,-159.0413033123831,-163.33886776826,-187.3046799762046,-158.19729169019405
35102,-208.54257950684627,-213.3065029384207,-217.09327713317936,-212.0560555173175,-212.0926454570811
23849,-125.15910594394941,-135.67124592936233,-133.0300203905282,-133.0186597428463,-133.64838665254564
88310,-268.6027429023356,-240.52024897533232,-247.84174848340675,-267.6928766712997,-249.40095214748695
10951,-184.26935259925625,-174.75059359381805,-173.9909945446524,-190.81364916537268,-172.07877016021408
